CAD$,,,,,,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Below The Line,Below The Line,Below The Line,Below The Line,Below The Line,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Equity,Equity,Equity,,,,,,,,,,,,,,,,,
2026-04-20,MC DEP 12374336,,447.99,"10,109.53",,-447.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-20,MC FEE 12233920,,-0.95,"10,108.58",,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-20,MC FEE 12233920,,-103.3,"10,005.28",,,,,,,,,,,,,,,,,,,103.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-20,VSA DEP12233920,,3431.42,"13,436.70",,-3431.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-20,VSA DEP12374336,,20.06,"13,456.76",,-20.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-20,VSA FEE12233920,,-0.42,"13,456.34",,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-20,VSA FEE12233920,,-77.55,"13,378.79",,,,,,,,,,,,,,,,,,,77.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-21,Other loan,Loan interest,-438.82,"12,939.97",,,,,,,,,,,,,,,,,,,438.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-21,LOAN PAYMENT,,-10000,"2,939.97",,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,0,,TRF-053,CAN 1050 CAD$,N,-7270,,,,,,,,,,,102
2026-04-21,MC DEP 12233920,,140.7,"3,080.67",,-140.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-21,MC DEP 12374336,,427,"3,507.67",,-427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-21,MC FEE 12233920,,-2.99,"3,504.68",,,,,,,,,,,,,,,,,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-21,VSA DEP12233920,,4118.48,"7,623.16",,-4118.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-21,VSA FEE12233920,,-79.31,"7,543.85",,,,,,,,,,,,,,,,,,,79.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-22,Online Banking payment - 2088,CUMBERLAND-UTIL,-440.35,"7,103.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.35,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-22,Misc Payment,HSA CAD CAN,-134.2,"6,969.30",,,,,,,,,,,,,,,,,,,134.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-22,EF0422 12374336,,224,"7,193.30",,-224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-22,LOAN PAYMENT,,-5000,"2,193.30",,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,0,,TRF-054,CAN 1050 CAD$,N,-3635,,,,,,,,,,,103
2026-04-22,MC DEP 12233920,,153.86,"2,347.16",,-153.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-22,MC DEP 12374336,,38.42,"2,385.58",,-38.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-22,MC FEE 12233920,,-3.83,"2,381.75",,,,,,,,,,,,,,,,,,,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-22,VSA DEP12233920,,1581.68,"3,963.43",,-1581.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-22,VSA DEP12374336,,30.22,"3,993.65",,-30.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-22,VSA FEE12233920,,-30.65,"3,963.00",,,,,,,,,,,,,,,,,,,30.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-23,Misc Payment,PAYPAL,3418.06,"7,381.06",,-3418.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-23,AMX DEP12233920,,1364.63,"8,745.69",,-1364.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-23,EF0423 12374336,,33.58,"8,779.27",,-33.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-23,MC DEP 12233920,,2407.09,"11,186.36",,-2407.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-23,MC FEE 12233920,,-69.35,"11,117.01",,,,,,,,,,,,,,,,,,,69.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-23,VSA DEP12233920,,1870.73,"12,987.74",,-1870.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-23,VSA FEE12233920,,-34.1,"12,953.64",,,,,,,,,,,,,,,,,,,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-24,Direct Deposits (PDS) service total,GRADS8318600000,-847.48,"12,106.16",,,,,,,,,,,,,,,,,,,847.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-24,Misc Payment,HSA CAD CAN,-201.12,"11,905.04",,,,,,,,,,,,,,,,,,,201.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-24,EF0424 12374336,,93.08,"11,998.12",,-93.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-24,LOAN PAYMENT,,-10000,"1,998.12",,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,0,,TRF-055,CAN 1050 CAD$,N,-7270,,,,,,,,,,,104
2026-04-24,MC DEP 12233920,,883.2,"2,881.32",,-883.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-24,MC FEE 12233920,,-17.94,"2,863.38",,,,,,,,,,,,,,,,,,,17.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-24,VSA DEP12233920,,6865.19,"9,728.57",,-6865.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-24,VSA FEE12233920,,-147.97,"9,580.60",,,,,,,,,,,,,,,,,,,147.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,Misc Payment,HSA CAD CAN,-547.25,"9,033.35",,,,,,,,,,,,,,,,,,,547.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,e-Transfer sent,info@crossbordervisas.com,-1680,"7,353.35",,,,,,,,,,,,,,,,,,,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,Misc Payment,PAYPAL,2822.34,"10,175.69",,-2822.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,EF0427 12374336,,65.78,"10,241.47",,-65.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,LOAN PAYMENT,,-5000,"5,241.47",,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,0,,TRF-056,CAN 1050 CAD$,N,-3635,,,,,,,,,,,105
2026-04-27,MC DEP 12233920,,3175.94,"8,417.41",,-3175.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,MC DEP 12233920,,-38.63,"8,378.78",,38.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,MC DEP 12374336,,13.43,"8,392.21",,-13.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,MC FEE 12233920,,-0.13,"8,392.08",,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,MC FEE 12233920,,-70.62,"8,321.46",,,,,,,,,,,,,,,,,,,70.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,MC FEE 12233920,,0.51,"8,321.97",,,,,,,,,,,,,,,,,,,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,VSA DEP12233920,,743.94,"9,065.91",,-743.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,VSA DEP12233920,,739.62,"9,805.53",,-739.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,VSA DEP12233920,,1548.37,"11,353.90",,-1548.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,VSA DEP12374336,,39.2,"11,393.10",,-39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,VSA FEE12233920,,-14.56,"11,378.54",,,,,,,,,,,,,,,,,,,14.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,VSA FEE12233920,,-14.31,"11,364.23",,,,,,,,,,,,,,,,,,,14.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-27,VSA FEE12233920,,-35.36,"11,328.87",,,,,,,,,,,,,,,,,,,35.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Tax Refund,CANADA,113952.94,"125,281.81",,,,,,,,,,,,,,,,,,,-113952.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-1445.43,"123,836.38",,,,,,,,,,,,,,,,,,,1445.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-2219.18,"121,617.20",,,,,,,,,,,,,,,,,,,2219.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-1397.61,"120,219.59",,,,,,,,,,,,,,,,,,,1397.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-1550.16,"118,669.43",,,,,,,,,,,,,,,,,,,1550.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-1274.02,"117,395.41",,,,,,,,,,,,,,,,,,,1274.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-3720.2,"113,675.21",,,,,,,,,,,,,,,,,,,3720.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-2728.21,"110,947.00",,,,,,,,,,,,,,,,,,,2728.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-2096.76,"108,850.24",,,,,,,,,,,,,,,,,,,2096.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-1843.86,"107,006.38",,,,,,,,,,,,,,,,,,,1843.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-2594.32,"104,412.06",,,,,,,,,,,,,,,,,,,2594.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-2096.24,"102,315.82",,,,,,,,,,,,,,,,,,,2096.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-1874.31,"100,441.51",,,,,,,,,,,,,,,,,,,1874.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-842.62,"99,598.89",,,,,,,,,,,,,,,,,,,842.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-1843.86,"97,755.03",,,,,,,,,,,,,,,,,,,1843.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-1797.07,"95,957.96",,,,,,,,,,,,,,,,,,,1797.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-1970.11,"93,987.85",,,,,,,,,,,,,,,,,,,1970.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-1956.97,"92,030.88",,,,,,,,,,,,,,,,,,,1956.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-1739.32,"90,291.56",,,,,,,,,,,,,,,,,,,1739.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,Payroll Deposit,INTUIT 10679525,-1679.19,"88,612.37",,,,,,,,,,,,,,,,,,,1679.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,LOAN PAYMENT,,-10000,"78,612.37",,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,0,,TRF-057,CAN 1050 CAD$,N,-7270,,,,,,,,,,,106
2026-04-28,MC DEP 12233920,,1563.8,"80,176.17",,-1563.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,MC DEP 12374336,,72.05,"80,248.22",,-72.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,MC FEE 12233920,,-40.56,"80,207.66",,,,,,,,,,,,,,,,,,,40.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,VSA DEP12233920,,2893.88,"83,101.54",,-2893.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-28,VSA FEE12233920,,-77.76,"83,023.78",,,,,,,,,,,,,,,,,,,77.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-29,Misc Payment,HSA CAD CAN,-201.12,"82,822.66",,,,,,,,,,,,,,,,,,,201.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-29,LOAN PAYMENT,,-80000,"2,822.66",,,,,,,,,,,,,,,,,,,,,,,,,,,80000,,,,,,,,,,,,,,,,,,,,,0,,TRF-058,CAN 1050 CAD$,N,-58160,,,,,,,,,,,107
2026-04-29,MC DEP 12233920,,3266.37,"6,089.03",,-3266.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-29,MC FEE 12233920,,-76.47,"6,012.56",,,,,,,,,,,,,,,,,,,76.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-29,VSA DEP12233920,,7107.72,"13,120.28",,-7107.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-29,VSA DEP12374336,,262.85,"13,383.13",,-262.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-29,VSA FEE12233920,,-150.3,"13,232.83",,,,,,,,,,,,,,,,,,,150.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-30,Misc Payment,PAYPAL,2752.53,"15,985.36",,-2752.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-30,AMX FEE12233920,,-122.31,"15,863.05",,,,,,,,,,,,,,,,,,,122.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-30,AMX FEE12374336,,-58.64,"15,804.41",,,,,,,,,,,,,,,,,,,58.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-30,INT FEE12374336,,-1.01,"15,803.40",,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-30,LOAN PAYMENT,,-10000,"5,803.40",,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,0,,TRF-059,CAN 1050 CAD$,N,-7270,,,,,,,,,,,108
2026-04-30,MC DEP 12233920,,-1123.61,"4,679.79",,1123.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-30,MC DEP 12374336,,664.33,"5,344.12",,-664.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-30,MC FEE 12233920,,-16.73,"5,327.39",,,,,,,,,,,,,,,,,,,16.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-30,MC FEE 12374336,,-110.74,"5,216.65",,,,,,,,,,,,,,,,,,,110.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-30,MON FEE12233920,,-27.3,"5,189.35",,,,,,,,,,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-30,MON FEE12344503,,-27.3,"5,162.05",,,,,,,,,,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-30,MON FEE12374336,,-45.5,"5,116.55",,,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-30,VSA DEP12233920,,1520.87,"6,637.42",,-1520.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-30,VSA FEE12233920,,-25.02,"6,612.40",,,,,,,,,,,,,,,,,,,25.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-04-30,VSA FEE12374336,,-37.37,"6,575.03",,,,,,,,,,,,,,,,,,,37.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-01,Insurance Loan,FIRST INSURANCE,-3210.9,"3,364.13",,,,,,,,,,,,,,,,,,,3210.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-01,EF0501 12374336,,47.53,"3,411.66",,-47.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-01,MC FEE 12233920,,-0.06,"3,411.60",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-01,VSA DEP12233920,,4893.59,"8,305.19",,-4893.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-01,VSA DEP12374336,,35.28,"8,340.47",,-35.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-01,VSA FEE12233920,,-87.47,"8,253.00",,,,,,,,,,,,,,,,,,,87.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-04,Business PAD,Clearbridge Bus,-1223.61,"7,029.39",,,,,,,,,,,,,,,,,,,1223.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-04,Online Banking payment - 6656,OUTDOOR GEAR,-1545.08,"5,484.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545.08,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-04,EF0504 12374336,,31.5,"5,515.81",,-31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-04,MC DEP 12233920,,2680.45,"8,196.26",,-2680.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-04,MC DEP 12374336,,218.73,"8,414.99",,-218.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-04,MC FEE 12233920,,-59.63,"8,355.36",,,,,,,,,,,,,,,,,,,59.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-04,MC FEE 12233920,,-0.19,"8,355.17",,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-04,Monthly fee,,-6,"8,349.17",,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-04,VSA DEP12233920,,2698,"11,047.17",,-2698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-04,VSA DEP12233920,,-15.03,"11,032.14",,15.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-04,VSA DEP12374336,,2469.96,"13,502.10",,-2469.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-04,VSA FEE12233920,,-51.82,"13,450.28",,,,,,,,,,,,,,,,,,,51.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-04,VSA FEE12233920,,-0.1,"13,450.18",,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-05,e-Transfer sent,Bob Jones,-2357.79,"11,092.39",,,,,,,,,,,,,,,,,,,2357.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-05,COMMERCIAL TAXES,GST-P 4644794,-1527.34,"9,565.05",,,,,,,,,,,,,,,,,,,1527.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-05,MC DEP 12233920,,4262.39,"13,827.44",,-4262.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-05,MC DEP 12374336,,26.87,"13,854.31",,-26.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-05,MC FEE 12233920,,-95.7,"13,758.61",,,,,,,,,,,,,,,,,,,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-05,VSA DEP12233920,,2757.29,"16,515.90",,-2757.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-05,VSA DEP12374336,,234.36,"16,750.26",,-234.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-05,VSA FEE12233920,,-58.59,"16,691.67",,,,,,,,,,,,,,,,,,,58.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-06,Misc Payment,HSA CAD CAN,-185.95,"16,505.72",,,,,,,,,,,,,,,,,,,185.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-05-06,Activity fee,,-480,"16,025.72",,,,,,,,,,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
